Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CARR,Carrier Global Corp,54.77,-0.37,-0.67%,55.94,54.27,5190200,4/24/2024
CAT,Caterpillar Inc,363.52,0.27,0.07%,368.17,358.895,3032700,4/24/2024
CB,Chubb Ltd,243.01,-6.87,-2.75%,243.605,238.85,3228900,4/24/2024
CBOE,CBOE Global Markets Inc,179.39,0.57,0.32%,180.3,177.1,579200,4/24/2024
CBRE,CBRE Group Inc,86.77,-0.34,-0.39%,87.49,85.95,988900,4/24/2024
CCI,Crown Castle Inc,95.44,-0.03,-0.03%,95.66,93.79,2968200,4/24/2024
CCL,Carnival Corp,15.01,0.22,1.49%,15.045,14.77,24536400,4/24/2024
CDNS,Cadence Design Sys,277.66,-4.1,-1.46%,284.1,276.72,2329100,4/24/2024
CDW,CDW Corp,240.69,0.22,0.09%,242.3,239.65,450700,4/24/2024
CE,Celanese Corp,155.43,-0.62,-0.40%,157.11,154.02,597900,4/24/2024
CEG,Constellation Energy Corp,186.16,-2.09,-1.11%,194.37,183.65,2266400,4/24/2024
CF,Cf Industries Holdings,79.25,0.71,0.90%,79.41,78.064,1416200,4/24/2024
CFG,Citizens Financial Group Inc/Ri,35.52,0.55,1.57%,35.615,34.69,4248100,4/24/2024
CHD,Church & Dwight Company,107.35,0.64,0.60%,107.56,105.27,912800,4/24/2024
CHRW,C.H. Robinson Ww,70.94,0.59,0.84%,70.98,69.66,1136000,4/24/2024
CHTR,Charter Communications Inc,264.7,-1.61,-0.60%,264.82,260.48,1133000,4/24/2024
CI,The Cigna Group,352.28,-0.37,-0.10%,353.99,350.06,1120700,4/24/2024
CINF,Cincinnati Financial,119.92,-0.91,-0.75%,120.57,119.47,601900,4/24/2024
CL,Colgate-Palmolive Company,88.87,0.29,0.33%,89.18,87.37,4066500,4/24/2024
CLX,Clorox Company,147.78,1.81,1.24%,148.33,144.95,1101900,4/24/2024
CMA,Comerica Inc,52.95,0.31,0.59%,53.1,52.01,1720800,4/24/2024
CMCSA,Comcast Corp A,40.21,-0.15,-0.37%,40.34,39.82,19581199,4/24/2024
CME,CME Group Inc,212.59,-4.18,-1.93%,216.63,209.07,2636800,4/24/2024
CMG,Chipotle Mexican Grill,2926.76,11.76,0.40%,2959.99,2916.5801,363300,4/24/2024
CMI,Cummins Inc,292.34,-0.36,-0.12%,295.44,290.31,760600,4/24/2024
CMS,Cms Energy Corp,60.28,0.33,0.55%,60.41,59.24,5468300,4/24/2024
CNC,Centene Corp,76.19,0.35,0.46%,76.36,75.36,2775700,4/24/2024
CNP,Centerpoint Energy Inc,29.07,0.34,1.18%,29.18,28.35,4112500,4/24/2024
COF,Capital One Financial Corp,148.87,0.97,0.66%,149.6,146.76,3961800,4/24/2024
COO,Cooper Companies,90.2,-1.48,-1.61%,92.11,90.15,1004300,4/24/2024
COP,Conocophillips,129.28,-0.56,-0.43%,129.69,128.29,3846600,4/24/2024
COR,Cencora Inc,237.95,0.26,0.11%,238.79,235.84,926700,4/24/2024
COST,Costco Wholesale,723.89,1.21,0.17%,725.43,716.09,1206600,4/24/2024
CPAY,Corpay Inc,307.42,0.81,0.26%,308.205,304.37,289800,4/24/2024
CPB,Campbell Soup Company,45.54,0.58,1.29%,45.705,44.261,3510000,4/24/2024
